time-stamp,java-file,seed,smt-result,error-message,smt-time,total-time,data-nodes,ctrl-nodes,mem-nodes
2026-05-26 15:36:14.350406675 UTC,Test78.java,4165603951599396907,Unknown,timeout,46.294639319s,46.911599211s,231,92,27
2026-05-26 15:37:07.452632904 UTC,Test79.java,3882381891647134890,Unsat,,0.023385486s,0.142983362s,93,20,2
2026-05-26 15:37:13.12925409 UTC,Test80.java,7638449159701575772,Unsat,,0.031145947s,0.1740237s,129,36,2
2026-05-26 15:37:18.879621643 UTC,Test81.java,2958495476718173365,Unsat,,0.025038172s,0.255680381s,105,28,2
2026-05-26 15:37:24.916884748 UTC,Test82.java,8056834808306834229,Unsat,,0.023678663s,0.148692969s,111,20,2
2026-05-26 15:37:30.548042301 UTC,Test83.java,4808503435857990852,Unsat,,9.991005758s,10.107250807s,109,35,5
2026-05-26 15:37:46.182508187 UTC,Test84.java,9411256771769361008,Unsat,,0.018895867s,0.087459123s,56,4,2
2026-05-26 15:37:51.572080062 UTC,Test85.java,14524101796091184470,Unsat,,0.016062298s,0.042529392s,10,4,2
2026-05-26 15:37:56.810017405 UTC,Test86.java,9596808553122937978,Unsat,,0.015753076s,0.068418672s,46,8,2
2026-05-26 15:38:02.20260887 UTC,Test87.java,6759005502645356167,Unsat,,0.019514143s,0.115274162s,73,20,2
2026-05-26 15:38:08.060572436 UTC,Test88.java,17428320806339349669,Unsat,,0.019130731s,0.084957878s,53,12,2
2026-05-26 15:38:13.481938478 UTC,Test89.java,4618575256461157123,Unsat,,0.022744499s,0.112403276s,67,36,5
2026-05-26 15:38:19.070443799 UTC,Test90.java,14148689844512494150,Unsat,,0.028033161s,0.142959283s,108,36,3
2026-05-26 15:38:24.599986777 UTC,Test91.java,4597949225771224393,Unsat,,0.017674178s,0.088296191s,61,12,2
2026-05-26 15:38:30.087615226 UTC,Test92.java,13147473636179402664,Unsat,,0.011862059s,0.080661318s,18,4,4
2026-05-26 15:38:35.399465544 UTC,Test93.java,7531047742581974990,Unsat,,0.026267713s,0.132430577s,98,40,5
2026-05-26 15:38:41.015889962 UTC,Test94.java,2844426210379251562,Unknown,timeout,45.82833122s,45.927618864s,90,20,2
2026-05-26 15:39:32.318213769 UTC,Test95.java,15646090337094588155,Unsat,,0.016169219s,0.060448832s,32,4,2
2026-05-26 15:39:37.453352969 UTC,Test96.java,5771822176562685597,Unsat,,0.025466704s,0.180078263s,135,28,4
2026-05-26 15:39:43.046567365 UTC,Test97.java,1263853334473438659,Unsat,,0.017269447s,0.064566614s,43,12,2
2026-05-26 15:39:48.345829123 UTC,Test98.java,2237202536041478483,Unsat,,0.022423412s,0.136365121s,91,28,4
2026-05-26 15:39:53.940710216 UTC,Test99.java,14793555602919813754,Unsat,,0.022862754s,0.154566286s,96,40,12
2026-05-26 15:39:59.120810288 UTC,Test100.java,7038697890512725642,Unsat,,0.022876877s,0.147149551s,115,20,2
2026-05-26 15:40:04.655686459 UTC,Test101.java,6921829714501943032,Unsat,,0.027020817s,0.444340418s,150,45,15
2026-05-26 15:40:10.853556784 UTC,Test102.java,11255847486766351349,Unsat,,0.027267384s,0.2163264s,163,36,2
2026-05-26 15:40:16.560327564 UTC,Test103.java,316038001132288257,Unknown,timeout,47.399732167s,47.605727392s,171,28,2
2026-05-26 15:41:09.633419281 UTC,Test104.java,6127413819703237991,Unknown,timeout,45.6145965s,45.715670673s,114,36,7
2026-05-26 15:42:00.792054929 UTC,Test105.java,2807651914919029067,Unsat,,0.033583658s,0.431340436s,151,50,15
2026-05-26 15:42:07.023408234 UTC,Test106.java,10328302744416049722,Unsat,,0.017951431s,0.081916187s,53,12,2
2026-05-26 15:42:12.614458913 UTC,Test107.java,10184298361613998883,Unknown,timeout,45.372413481s,45.451703297s,78,24,4
2026-05-26 15:43:03.482622868 UTC,Test108.java,9265796694779382208,Unsat,,13.758205876s,14.012209375s,154,60,8
2026-05-26 15:43:22.967104758 UTC,Test109.java,7483937491922353971,Unsat,,0.035886827s,0.25671942s,199,52,9
2026-05-26 15:43:28.655973097 UTC,Test110.java,2546778462719899463,Unsat,,0.021464765s,0.098549181s,74,24,5
2026-05-26 15:43:34.232109075 UTC,Test111.java,11927296447532623720,Unknown,timeout,46.485252516s,46.695199755s,130,56,11
2026-05-26 15:44:26.407762276 UTC,Test112.java,7476345623990682523,Unknown,timeout,45.579068586s,46.155284573s,210,84,16
2026-05-26 15:45:18.149774449 UTC,Test113.java,2471803783815771045,Unsat,,0.046400534s,0.19322772s,129,28,2
2026-05-26 15:45:23.959321512 UTC,Test114.java,17321116663714452125,Unknown,timeout,45.930646622s,46.040368508s,97,20,4
2026-05-26 15:46:15.606594509 UTC,Test115.java,5408592886996307424,Unsat,,0.043399084s,0.172610244s,55,12,2
2026-05-26 15:46:21.289818786 UTC,Test116.java,5870957145819991169,Unsat,,4.402140339s,4.461114538s,59,4,2
2026-05-26 15:46:31.09879851 UTC,Test117.java,262545961264642180,Unknown,timeout,47.202476961s,47.551273448s,219,104,23
2026-05-26 15:47:24.383725947 UTC,Test118.java,10950996646389193212,Unsat,,0.021696588s,0.128121051s,63,32,9
2026-05-26 15:47:30.207224589 UTC,Test119.java,10582208122048495358,Unsat,,0.024805186s,0.172534015s,105,20,2
2026-05-26 15:47:36.031298416 UTC,Test120.java,6655415787173490093,Unsat,,0.026345394s,0.128651553s,105,12,2
2026-05-26 15:47:41.835744077 UTC,Test121.java,17760837378862975616,Unknown,timeout,47.066661176s,47.251440009s,152,52,12
2026-05-26 15:48:34.855433003 UTC,Test122.java,7158971477122708319,Unsat,,0.026767676s,0.200647109s,155,28,2
2026-05-26 15:48:40.63638018 UTC,Test123.java,7231234753708522282,Unsat,,0.017115387s,0.076946967s,59,12,2
2026-05-26 15:48:46.297273557 UTC,Test124.java,9384942125327555345,Unsat,,0.016507939s,0.050731631s,30,4,2
2026-05-26 15:48:51.583210194 UTC,Test125.java,9539163265434095762,Unsat,,0.025733268s,0.174992295s,97,48,3
2026-05-26 15:48:57.337237292 UTC,Test126.java,12446916637204463027,Unsat,,0.016587923s,0.054672154s,40,4,2
2026-05-26 15:49:02.598391712 UTC,Test127.java,10546763954254338194,Unsat,,3.628829104s,3.946779786s,121,28,10
2026-05-26 15:49:12.508334246 UTC,Test128.java,2987447065844327527,Unsat,,0.012703221s,0.037280161s,12,4,2
2026-05-26 15:49:17.714969047 UTC,Test129.java,14652437645202222828,Unsat,,0.019585864s,0.128280754s,107,16,2
